station,window_months,window_start_month,window_end_month,rolling_mean_cfs,partial_months_in_window,unusable_months_in_window,historical_rank_lowest,historical_n,low_flow_percentile
Comal Springs,9,1955-04-01,1955-12-01,75.30836320191159,0,0,21,1127,1.8633540372670807
Comal Springs,9,2024-08-01,2025-04-01,75.36869772998806,0,0,22,1127,1.9520851818988465
Comal Springs,9,2024-07-01,2025-03-01,79.0605734767025,0,0,23,1127,2.0408163265306123
Comal Springs,9,1955-03-01,1955-11-01,79.61660692951016,0,0,24,1127,2.129547471162378
Comal Springs,9,2025-09-01,2026-05-01,81.11228878648234,0,0,25,1127,2.218278615794144
Comal Springs,9,2024-06-01,2025-02-01,81.13154121863799,0,0,26,1127,2.3070097604259097
Comal Springs,9,2025-07-01,2026-03-01,81.78170336234852,0,0,27,1127,2.3957409050576755
Comal Springs,9,2024-11-01,2025-07-01,82.82951015531661,0,0,28,1127,2.484472049689441
Comal Springs,9,1956-10-01,1957-06-01,83.14580986516471,0,0,29,1127,2.5732031943212066
Comal Springs,9,2024-12-01,2025-08-01,85.32401433691756,0,0,30,1127,2.6619343389529724
Comal Springs,9,2024-05-01,2025-01-01,85.68709677419355,0,0,31,1127,2.750665483584738
Comal Springs,9,2025-04-01,2025-12-01,85.74755077658304,0,0,32,1127,2.839396628216504
Comal Springs,9,2025-03-01,2025-11-01,85.75113500597372,0,0,33,1127,2.9281277728482697
Comal Springs,9,2025-05-01,2026-01-01,86.48243727598566,0,0,34,1127,3.0168589174800355
Comal Springs,9,1955-02-01,1955-10-01,87.48909370199692,0,0,35,1127,3.1055900621118013
Comal Springs,9,2025-06-01,2026-02-01,87.61479774705582,0,0,36,1127,3.1943212067435667
Comal Springs,9,2025-02-01,2025-10-01,88.14743130227001,0,0,37,1127,3.2830523513753325
Comal Springs,9,2025-01-01,2025-09-01,88.7925925925926,0,0,38,1127,3.3717834960070983
Comal Springs,9,2025-10-01,2026-06-01,89.53451100870456,0,0,39,1127,3.460514640638864
Comal Springs,9,1984-04-01,1984-12-01,94.08506571087216,0,0,40,1127,3.54924578527063
Comal Springs,9,2024-04-01,2024-12-01,94.34934289127837,0,0,41,1127,3.6379769299023956
Comal Springs,9,1955-01-01,1955-09-01,96.15934459805428,0,0,42,1127,3.7267080745341614
Comal Springs,9,1984-03-01,1984-11-01,97.88076463560334,0,0,43,1127,3.815439219165927
Comal Springs,9,1956-11-01,1957-07-01,100.57233316265574,0,0,44,1127,3.904170363797693
Comal Springs,9,1984-05-01,1985-01-01,101.07275985663082,0,0,45,1127,3.9929015084294592
Comal Springs,9,2025-11-01,2026-07-01,103.29078341013825,0,0,46,1127,4.081632653061225
Comal Springs,9,1954-12-01,1955-08-01,104.49912954429084,0,0,47,1127,4.17036379769299
Comal Springs,9,1984-02-01,1984-10-01,105.32188851810653,0,0,48,1127,4.259094942324756
Comal Springs,9,2024-03-01,2024-11-01,105.34575866188769,0,0,49,1127,4.3478260869565215
Comal Springs,9,1956-12-01,1957-08-01,108.39849803720772,0,0,50,1127,4.436557231588288
Comal Springs,12,1956-04-01,1957-03-01,24.678443420378905,0,0,1,1124,0.0889679715302491
Comal Springs,12,1956-03-01,1957-02-01,24.998335893497185,0,0,2,1124,0.1779359430604982
Comal Springs,12,1956-02-01,1957-01-01,28.6489927079471,0,0,3,1124,0.26690391459074736
Comal Springs,12,1956-05-01,1957-04-01,29.872887864823348,0,0,4,1124,0.3558718861209964
Comal Springs,12,1956-01-01,1956-12-01,31.96619700902237,0,0,5,1124,0.4448398576512456
Comal Springs,12,1955-12-01,1956-11-01,36.51996044988258,0,0,6,1124,0.5338078291814947
Comal Springs,12,1955-11-01,1956-10-01,40.722738227660365,0,0,7,1124,0.6227758007117438
Comal Springs,12,1956-06-01,1957-05-01,42.86213517665131,0,0,8,1124,0.7117437722419928
Comal Springs,12,1955-10-01,1956-09-01,45.612523173896925,0,0,9,1124,0.800711743772242
Comal Springs,12,1955-09-01,1956-08-01,50.12918984056359,0,0,10,1124,0.8896797153024912
Comal Springs,12,1955-08-01,1956-07-01,54.4571468298109,0,0,11,1124,0.9786476868327402
Comal Springs,12,1955-07-01,1956-06-01,59.863060808305526,0,0,12,1124,1.0676156583629894
Comal Springs,12,1956-07-01,1957-06-01,62.35935739887353,0,0,13,1124,1.1565836298932384
Comal Springs,12,1955-06-01,1956-05-01,66.8547274749722,0,0,14,1124,1.2455516014234875
Comal Springs,12,1955-05-01,1956-04-01,72.29289951798295,0,0,15,1124,1.3345195729537367
Comal Springs,12,1956-08-01,1957-07-01,75.42924987199181,0,0,16,1124,1.4234875444839856
Comal Springs,12,1955-04-01,1956-03-01,77.61234396242739,0,0,17,1124,1.5124555160142348
Comal Springs,12,2024-06-01,2025-05-01,77.64695340501792,0,0,18,1124,1.601423487544484
Comal Springs,12,2024-07-01,2025-06-01,79.61639784946236,0,0,19,1124,1.6903914590747333
Comal Springs,12,2025-04-01,2026-03-01,81.65724526369688,0,0,20,1124,1.7793594306049825
Comal Springs,12,2024-09-01,2025-08-01,82.3018817204301,0,0,21,1124,1.8683274021352312
Comal Springs,12,2025-03-01,2026-02-01,82.50939580133128,0,0,22,1124,1.9572953736654803
Comal Springs,12,2025-05-01,2026-04-01,82.51280081925243,0,0,23,1124,2.0462633451957295
Comal Springs,12,2024-12-01,2025-11-01,82.59023297491039,0,0,24,1124,2.135231316725979
Comal Springs,12,1955-03-01,1956-02-01,82.59352675812632,0,0,25,1124,2.224199288256228
Comal Springs,12,2024-10-01,2025-09-01,82.62410394265233,0,0,26,1124,2.3131672597864767
Comal Springs,12,2024-11-01,2025-10-01,82.80689964157706,0,0,27,1124,2.4021352313167257
Comal Springs,12,2024-08-01,2025-07-01,83.025,0,0,28,1124,2.491103202846975
Comal Springs,12,1956-09-01,1957-08-01,83.09054019457245,0,0,29,1124,2.580071174377224
Comal Springs,12,2024-05-01,2025-04-01,83.19265232974911,0,0,30,1124,2.6690391459074734
Comal Springs,12,2025-01-01,2025-12-01,83.6413082437276,0,0,31,1124,2.7580071174377228
Comal Springs,12,2025-02-01,2026-01-01,83.78915770609319,0,0,32,1124,2.8469750889679712
Comal Springs,12,1955-02-01,1956-01-01,86.71072708653354,0,0,33,1124,2.9359430604982206
Comal Springs,12,2025-06-01,2026-05-01,89.75204813108039,0,0,34,1124,3.0249110320284696
Comal Springs,12,2024-04-01,2025-03-01,90.0926523297491,0,0,35,1124,3.113879003558719
Comal Springs,12,1955-01-01,1955-12-01,90.52255504352279,0,0,36,1124,3.202846975088968
Comal Springs,12,1956-10-01,1957-09-01,93.17387352790578,0,0,37,1124,3.291814946619217
Comal Springs,12,1954-12-01,1955-11-01,93.7752432155658,0,0,38,1124,3.3807829181494666
Comal Springs,12,2025-07-01,2026-06-01,94.09371479774705,0,0,39,1124,3.469750889679715
Comal Springs,12,2024-03-01,2025-02-01,97.28620071684588,0,0,40,1124,3.558718861209965
Comal Springs,12,1954-11-01,1955-10-01,98.08913210445469,0,0,41,1124,3.6476868327402134
Comal Springs,12,2025-08-01,2026-07-01,98.1528545826933,0,0,42,1124,3.7366548042704624
Comal Springs,12,1954-10-01,1955-09-01,102.25579877112135,0,0,43,1124,3.8256227758007118
Comal Springs,12,1954-09-01,1955-08-01,104.20579877112135,0,0,44,1124,3.9145907473309607
Comal Springs,12,2024-02-01,2025-01-01,105.15114324558151,0,0,45,1124,4.0035587188612105
Comal Springs,12,1954-08-01,1955-07-01,106.82676651305684,0,0,46,1124,4.092526690391459
Comal Springs,12,1956-11-01,1957-10-01,109.35666922683052,0,0,47,1124,4.1814946619217075
Comal Springs,12,1954-07-01,1955-06-01,110.15741167434716,0,0,48,1124,4.270462633451958
Comal Springs,12,2024-01-01,2024-12-01,111.93877765418365,0,0,49,1124,4.359430604982206
Comal Springs,12,1954-06-01,1955-05-01,112.87130056323605,0,0,50,1124,4.448398576512456
Comal Springs,18,1955-09-01,1957-02-01,42.18686900789237,0,0,1,1118,0.08944543828264759
Comal Springs,18,1955-08-01,1957-01-01,42.31820541342232,0,0,2,1118,0.17889087656529518
Comal Springs,18,1955-10-01,1957-03-01,42.80837438423645,0,0,3,1118,0.26833631484794274
Comal Springs,18,1955-07-01,1956-12-01,43.079854158942034,0,0,4,1118,0.35778175313059035
Comal Springs,18,1955-11-01,1957-04-01,45.315184420078744,0,0,5,1118,0.4472271914132379
Comal Springs,18,1955-06-01,1956-11-01,45.96981831664813,0,0,6,1118,0.5366726296958855
Comal Springs,18,1955-05-01,1956-10-01,49.94383265356569,0,0,7,1118,0.6261180679785331
Comal Springs,18,1955-12-01,1957-05-01,51.521397084355925,0,0,8,1118,0.7155635062611807
Comal Springs,18,1955-04-01,1956-09-01,55.79383265356569,0,0,9,1118,0.8050089445438283
Comal Springs,18,1956-01-01,1957-06-01,59.712555985192246,0,0,10,1118,0.8944543828264758
Comal Springs,18,1955-03-01,1956-08-01,62.96049932023236,0,0,11,1118,0.9838998211091234
Comal Springs,18,1956-03-01,1957-08-01,63.29184161119645,0,0,12,1118,1.073345259391771
Comal Springs,18,1956-02-01,1957-07-01,63.37205419307755,0,0,13,1118,1.1627906976744187
Comal Springs,18,1956-04-01,1957-09-01,66.16818569721795,0,0,14,1118,1.2522361359570662
Comal Springs,18,1955-02-01,1956-07-01,70.89303900277204,0,0,15,1118,1.3416815742397137
Comal Springs,18,1956-05-01,1957-10-01,74.65301245946407,0,0,16,1118,1.4311270125223614
Comal Springs,18,2024-10-01,2026-03-01,78.01169994879672,0,0,17,1118,1.520572450805009
Comal Springs,18,1955-01-01,1956-06-01,78.48802108162509,0,0,18,1118,1.6100178890876566
Comal Springs,18,2024-11-01,2026-04-01,78.75763782215395,0,0,19,1118,1.6994633273703041
Comal Springs,18,2024-09-01,2026-02-01,79.39676565966889,0,0,20,1118,1.7889087656529516
Comal Springs,18,2024-08-01,2026-01-01,80.92556750298685,0,0,21,1118,1.8783542039355994
Comal Springs,18,2024-07-01,2025-12-01,82.40406212664277,0,0,22,1118,1.9677996422182469
Comal Springs,18,2024-12-01,2026-05-01,83.21815156169995,0,0,23,1118,2.0572450805008944
