station,year,month,observed_days,monthly_mean_cfs,expected_days,coverage_pct,complete_month,year_status,year_used,forced_include,month_status,month_usable_for_rolling
Comal Springs,1933,1933-10-01,31,291.7741935483871,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-11-01,30,299.06666666666666,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1933,1933-12-01,31,307.5806451612903,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-01-01,31,318.2903225806452,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-02-01,28,305.14285714285717,28,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-03-01,31,328.7096774193548,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-04-01,30,330.23333333333335,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-05-01,31,327.4516129032258,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-06-01,30,324.2,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-07-01,31,333.7096774193548,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-08-01,31,325.06451612903226,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-09-01,30,298.1333333333333,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-10-01,31,304.06451612903226,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-11-01,30,286.3,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1934,1934-12-01,31,285.7096774193548,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-01-01,31,296.258064516129,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-02-01,28,295.14285714285717,28,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-03-01,31,293.48387096774195,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-04-01,30,299.6333333333333,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-05-01,31,308.83870967741933,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-06-01,30,332.96666666666664,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-07-01,31,340.741935483871,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-08-01,31,341.258064516129,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-09-01,30,337.6,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-10-01,31,341.35483870967744,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-11-01,30,354.96666666666664,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1935,1935-12-01,31,369.9032258064516,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-01-01,31,374.8709677419355,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-02-01,29,368.9310344827586,29,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-03-01,31,356.38709677419354,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
